model,threshold,accuracy,precision,recall,f1_score,roc_auc
gradient_boosting,0.2,0.9143337989902212,0.2953635757171448,0.3320209973753281,0.312621359223301,0.8328418506037705
extra_trees_balanced,0.7,0.9010020789563419,0.26293326435592346,0.38113985751781027,0.3111893463952242,0.8275360011329431
extra_trees_balanced,0.65,0.8736676529792874,0.22747009304386354,0.48125234345706785,0.3089235212708346,0.8275360011329431
extra_trees_balanced,0.6,0.8437152819790784,0.20467252396166133,0.5764904386951631,0.3020925434718538,0.8275360011329431
random_forest_balanced,0.6,0.8832264522445029,0.23258404212231673,0.4306336707911511,0.3020381328073636,0.8205860463499415
random_forest_balanced,0.55,0.8567720077878365,0.20911223794747597,0.5179977502812149,0.29794575942200896,0.8205860463499415
random_forest_balanced,0.65,0.9050939930261465,0.259702363583309,0.333708286464192,0.29209058089924517,0.8205860463499415
extra_trees_balanced,0.55,0.8082520267074391,0.18319891065256103,0.655793025871766,0.2863926641558867,0.8275360011329431
random_forest_balanced,0.5,0.8260386531882831,0.18797261089610004,0.5918635170603674,0.2853269465407384,0.8205860463499415
gradient_boosting,0.25,0.9277645169451442,0.33966189856957085,0.24484439445069367,0.2845625885172677,0.8328418506037705
random_forest_balanced,0.7,0.9222866319807284,0.3022618231665524,0.24803149606299213,0.27247451343836887,0.8205860463499415
random_forest_balanced,0.45,0.7910373882148475,0.17110394299744836,0.6662917135358081,0.2722850028730128,0.8205860463499415
extra_trees_balanced,0.5,0.7721397850645136,0.16720758146176815,0.7244094488188977,0.2717012973315051,0.8275360011329431
random_forest_balanced,0.4,0.7540121657445193,0.15701913393756295,0.7307836520434946,0.25849663450379656,0.8205860463499415
extra_trees_balanced,0.45,0.7265677420774164,0.14983140827892963,0.7830896137982752,0.25153558954594724,0.8275360011329431
gradient_boosting,0.3,0.9353103584824719,0.38967325534489716,0.18110236220472442,0.2472801740688596,0.8328418506037705
random_forest_balanced,0.35,0.7162059596748468,0.14476150801916268,0.78177727784027,0.24428822495606328,0.8205860463499415
extra_trees_balanced,0.4,0.6816446854616053,0.13603848051307352,0.8271466066741657,0.23364931419795584,0.8275360011329431
random_forest_balanced,0.3,0.6727788716436954,0.1325627596171212,0.8256467941507312,0.22844693432928728,0.8205860463499415
extra_trees_balanced,0.35,0.6376126101351871,0.12524769944895356,0.8650168728908887,0.21881298461100704,0.8275360011329431
random_forest_balanced,0.25,0.6240168956451915,0.12163899163190892,0.869328833895763,0.21341617765504545,0.8205860463499415
extra_trees_balanced,0.3,0.5847917193738932,0.11391952736022107,0.8965129358830146,0.2021517194732726,0.8275360011329431
gradient_boosting,0.35,0.9387752857189999,0.4275,0.12823397075365578,0.1972887222382463,0.8328418506037705
random_forest_balanced,0.2,0.568204067714578,0.11047059093727751,0.9017622797150356,0.19682864450127877,0.8205860463499415
extra_trees_balanced,0.25,0.5272299281715084,0.10367625384259065,0.9231346081739783,0.186416294389339,0.8275360011329431
extra_trees_balanced,0.2,0.4602963337769907,0.09420410890262235,0.9516310461192351,0.17143725619332287,0.8275360011329431
gradient_boosting,0.4,0.9404032515317179,0.4600760456273764,0.09073865766779153,0.1515815847165675,0.8328418506037705
gradient_boosting,0.45,0.9414702291251884,0.5096870342771982,0.06411698537682789,0.11390507910074937,0.8328418506037705
gradient_boosting,0.5,0.9418442212713533,0.5560859188544153,0.04368203974503187,0.08100121675647488,0.8328418506037705
gradient_boosting,0.55,0.9417012242742903,0.5752212389380531,0.024371953505811773,0.046762589928057555,0.8328418506037705
gradient_boosting,0.6,0.9416022263532465,0.5954198473282443,0.014623172103487065,0.028545288197621227,0.8328418506037705
gradient_boosting,0.65,0.9415472275082223,0.6666666666666666,0.0074990626171728535,0.014831294030404153,0.8328418506037705
gradient_boosting,0.7,0.9413932307421544,0.625,0.00281214848143982,0.005599104143337066,0.8328418506037705
