feature,coefficient,absolute_coefficient
_AGEG5YR,0.9417494446758692,0.9417494446758692
GENHLTH,0.4135272149263246,0.4135272149263246
_SEX,-0.4130148013727583,0.4130148013727583
CVDSTRK3,-0.2587145892519411,0.2587145892519411
CHECKUP1,-0.1950338981653258,0.1950338981653258
_SMOKER3,-0.1832043536477328,0.1832043536477328
DIABETE4,-0.1670459762860978,0.1670459762860978
PERSDOC3,0.1465775617793398,0.1465775617793398
INCOME3,-0.1378392820330932,0.1378392820330932
CHCCOPD3,-0.1136765546078158,0.1136765546078158
