feature,importance_mean,importance_std
_AGEG5YR,0.1132758005901306,0.0022509160378975
_SEX,0.0245444051314052,0.0007527875950941
GENHLTH,0.0233340255619128,0.0004837750417092
CVDSTRK3,0.0124739211021271,0.0006071105988707
DIABETE4,0.0046815439859867,0.00033270516873
_SMOKER3,0.0041551440007856,0.000415978574182
CHECKUP1,0.0036307835902647,0.00042300247237
PERSDOC3,0.0027188393637948,0.0002416963298295
CHCCOPD3,0.0018942029543478,7.114017680727898e-05
CHCKDNY2,0.0018095735304549,0.0001817741226511
