feature,mean_abs_shap_value
age_group,0.11503470691381314
general_health,0.06991596055761713
smoking_status,0.03897046534318467
year,0.03682781616367536
sex,0.032407408318615126
diabetes,0.025484009456945265
stroke,0.020971146608355407
high_cholesterol,0.019618611484004518
high_bp,0.016873655592048616
personal_doctor,0.016001083448324835
arthritis,0.013079376004146081
checkup,0.010491374722659997
bmi,0.009872787227999582
physical_bad_days,0.00909672560781649
sleep_hours,0.006566317781674012
asthma,0.0053210672378045725
state,0.00531170794177348
mental_bad_days,0.004837298919540281
insurance,0.004459836319460081
kidney_disease,0.0037730389537601653
physical_activity,0.0028262563299284883
cost_barrier,0.0024107921420925722
depression,0.0023257063552416693
copd,0.002012430326640693
heavy_drinking,0.00015947834488192037
